Tree_ID,Name,Scientific_Name,Latitude,Longitude,Tree_Circumference(cm),DBH(cm),Height(m),Wood_density,AGB,Carbon_Storage(C)
UTMBERSERIA00003,Black Penda,,1.5579048,103.6352531,80,25.46473135,9.8,0.6,541.6032755,270.8016378
UTMBERSERIA00004,Black penda,,1.557914712,103.6352279,45,14.32391138,1.91,0.6,541.6063816,270.8031908
UTMBERSERIA00005,Black penda (Xanthostemon Chrysanthus),,1.55785985,103.6351832,56.5,17.98446651,6.12,0.6,541.5873107,270.7936553
UTMBERSERIA00006,Mango Tree,,1.557793113,103.6351502,82.5,26.2605042,5.25,0.6,541.5643299,270.7821649
UTMBERSERIA00007,Pterocarpus indicus,,1.557735056,103.6350782,275,87.53501401,18,0.52,470.9527188,235.4763594
UTMBERSERIA00008,Jambos,,1.557773103,103.6351408,104,33.10415075,7.04,0.6,541.5574442,270.7787221
UTMBERSERIA00010,Jambos,,1.5577065,103.6351478,33.5,10.66335625,6,0.6,541.5349172,270.7674586
UTMBERSERIA00011,Syzygium jambos (L.) Alston,,1.5578495,103.6350633,31,9.867583397,7.4,0.6,541.5825758,270.7912879
UTMBERSERIA00012,Syzy.gium jambos (L.) Alston,,1.557651738,103.6351463,8.2,2.610134963,4.5,0.6,541.5163212,270.7581606
UTMBERSERIA00013,suzygium jambos,,1.558667757,103.63441,34,10.82251082,5.57,0.6,541.8535442,270.9267721
UTMBERSERIA00014,Swietenia macrophylla,,1.557857866,103.6350132,20,6.366182837,11.5,0.49,444.4493785,222.2246892
UTMBERSERIA00015,Pimenta racemosa,,1.557652659,103.635161,14.5,4.615482557,5.63,0.6,541.5167833,270.7583916
UTMBERSERIA00016,Jambos,,1.557633954,103.6351463,27.94,8.893557423,8,0.6,541.5102866,270.7551433
UTMBERSERIA00017,Jambos,,1.5579399,103.634916,8,2.546473135,8,0.6,541.6117462,270.8058731
UTMBERSERIA00018,Eucaly.ptus robusta Sm,,1.558163219,103.6354724,30,9.549274255,5.3,0.6,541.6931954,270.8465977
UTMBERSERIA00019,Broad-leaf-privet,,1.557565816,103.6351632,44,14.00560224,8,0.6,541.4873394,270.7436697
UTMBERSERIA00020,Syzygium cumini (L.) Skeels,,1.557584417,103.6355434,180,57.29564553,12,0.6,541.4975285,270.7487643
UTMBERSERIA00021,Syzygium paniculatum,,1.5576686,103.6354436,54,17.18869366,2,0.6,541.5250746,270.7625373
UTMBERSERIA00022,Bauhinia Variegata,,1.557592,103.6355676,53,16.87038452,7.38,0.6,541.5003483,270.7501742
UTMBERSERIA00023,Bauhinia Variegata,,1.558110754,103.6355047,54,17.18869366,4.94,0.6,541.6757236,270.8378618
UTMBERSERIA00024,Pokok Tapak Kuda ,,1.5576186,103.6354389,41,13.05067482,4.81,0.6,541.5080613,270.7540306
UTMBERSERIA00025,Mango Tree,,1.557694,103.635597,78,24.82811306,5.8,0.6,541.5352577,270.7676288
UTMBERSERIA00026,Orchid Tree,,1.557662584,103.6356932,90,28.64782277,8.45,0.6,541.5255787,270.7627893
UTMBERSERIA00027,Syzygium myrtifolium,,1.5576981,103.6357497,109,34.69569646,9,0.6,541.5382064,270.7691032
UTMBERSERIA00028,Syzygium myrtifoliumPlant,,1.5576782,103.635717,54,17.18869366,7,0.6,541.5311206,270.7655603
UTMBERSERIA00029,Black Penda,,1.558011482,103.6356968,42.2,13.43264579,3.88,0.6,541.6439998,270.8219999
UTMBERSERIA00030,Black Penda,,1.5583398,103.6355357,75,23.87318564,11,0.6,541.7537563,270.8768782
UTMBERSERIA00116,Mango tree,,1.5593893,103.6350738,41,13.05067482,2.5,0.6,542.1051371,271.0525686
UTMBERSERIA00117,Mango tree,,1.5594017,103.6351505,73,23.23656735,4,0.6,542.1101276,271.0550638
UTMBERSERIA00118,Nona,,1.5596107,103.6350541,7,2.228163993,1.8,0.6,542.180056,271.090028
